animal_id,start_date,end_date,test_days,start_weight_g,end_weight_g,total_feed_g,AGE,ADG_g,ADFI_g,FCR
982091101529889,2023-04-26,2023-07-01,67,48928.5714285714,108722.222222222,194873.9205212,,996.560846560847,2908.56597792835,3.25910724524438
982091101532966,2023-04-26,2023-07-01,67,46125,107734.88194791,176576.973507067,,1026.8313657985,2635.47721652338,2.86604953498141
982091101535034,2023-04-26,2023-07-01,67,45903.4086590566,108825.896131277,192680.399804871,,1048.70812453701,2875.82686275927,3.06218662906385
