animal_id,start_date,end_date,test_days,start_weight_g,end_weight_g,total_feed_g,AGE,ADG_g_lm,ADG_r2,ADG_pval,ADFI_g_lm,ADFI_r2,ADFI_pval,FCR_lm
ID001,2025-09-16,2025-12-24,100,40403.6947349457,127521.826388137,273436.811459453,,1015.39808286706,0.993824909998018,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000568790533587952,2892.74569091189,0.990512161233252,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000633981857227261,2.8488784248479
ID002,2025-09-17,2025-12-22,97,41620.4445542652,132649.222551481,191234.95720236,,1040.73329073896,0.993499540758228,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106699934980683,1903.08867123981,0.910815224346526,0.0000000000000000000000000000000000000000000000000011765010776705,1.82860362801361
ID004,2025-09-20,2025-12-22,94,32700.4678644666,120688.45065664,215161.630523999,,1006.25641312478,0.993296236679326,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000085301055867232,2274.65024674763,0.951873520167448,0.0000000000000000000000000000000000000000000000000000000000000208454638365863,2.26050757747127
ID005,2025-09-17,2025-12-22,97,33950,108516.459288863,227887.780457127,,838.09554296656,0.99447533358114,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000470599419622867,2503.5662800445,0.99148976207612,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000385463895160703,2.98720867931449
ID006,2025-09-17,2025-12-24,99,32543.8193183695,128614.285714286,262316.664566626,,1074.8950523,0.997447894353132,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000276281731567531,2806.68793907824,0.982212499077339,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000829865010197474,2.6111274147859
ID007,2025-09-15,2025-12-22,99,30060.9382454981,116010.827630751,220405.172232125,,959.412030432962,0.996630896341007,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000051063925835319,2483.74979184356,0.996813866634647,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000209128904805598,2.58882493971094
ID015,2025-09-17,2025-12-24,99,30195.0467044528,125362.629025897,247053.968679127,,1045.03667949881,0.994562230114505,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000561542648793692,2722.16331727956,0.994293284605072,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000517425823279439,2.60484954325727
ID019,2025-09-12,2025-12-24,104,29054.130150697,124166.666666667,273227.177236276,,1023.23364167958,0.995521366644119,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000127629918996532,2801.08553395456,0.994442228287794,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000077214405851255,2.73748381587292
ID020,2025-09-14,2025-12-26,104,28040,112642.857142857,226068.755734023,,880.521365126772,0.986781767563933,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000120019461642535,2236.11188704769,0.969567986589829,0.000000000000000000000000000000000000000000000000000000000000000000000000000000357289667094236,2.53953166340915
ID021,2025-09-12,2025-12-26,106,20933.7240057115,117895.238095238,264848.44939081,,1000.85084160401,0.99503893036163,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000115705972988969,2647.2117642873,0.976950617933026,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000569677975002988,2.64496132115426
ID022,2025-09-19,2025-12-22,95,33941.6666666667,113200,301719.569648368,,941.560416925207,0.994492428594267,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000745334877043254,3319.85359480763,0.998356038145324,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000285658160736243,3.52590607584064
ID026,2025-09-17,2025-12-24,99,32042.3757434651,131550.220608215,296521.96836058,,1115.89124516298,0.997007043704227,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000579600941630701,3133.81860976419,0.990433306982865,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000097338872727526,2.80835486732982
ID027,2025-09-12,2025-12-24,104,38630.873917553,125581.314430811,268377.816463603,,962.375379760113,0.996345577574566,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000399127216628703,2632.20421899642,0.991045385685011,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000028371492815975,2.73511176029102
ID028,2025-09-12,2025-12-26,106,27840,107266.666666667,211670.664566626,,829.442470143876,0.988047003589979,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000708683760515231,2040.33491368045,0.974736841380521,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000268468775989568,2.45988719787465
ID029,2025-09-17,2025-12-22,97,38107.63505296,131591.666666667,170723.300043092,,1069.84688156172,0.990118981083685,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000475250219417916,1636.88483154466,0.864517918205459,0.00000000000000000000000000000000000000000380134372469658,1.53001785559743
ID030,2025-09-13,2025-12-26,105,27828.863720733,128095.073707602,283144.828971352,,1063.90521037814,0.994096265554152,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000128457513727002,2878.9406232966,0.99019806509262,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000028127025677223,2.70601233569799
ID031,2025-09-19,2025-12-26,99,28683.1850589092,112653.111185091,227686.004868617,,943.490726469967,0.995833469920705,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110792749800072,2427.49868847041,0.993264610337546,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000705839710999139,2.57289088314922
ID033,2025-09-13,2025-12-24,103,30331.7366021149,111858.333333333,240653.601287787,,875.791069385373,0.995620437619685,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000142817174580716,2408.69288768534,0.977582381108623,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000182822604196067,2.75030537748662
ID034,2025-09-20,2025-12-22,94,30509.0909090909,110164.285714286,270509.753184764,,929.802549597857,0.995041930518104,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000802236303085217,2989.64849278605,0.999331064558932,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000770338697074371,3.21535845871694
ID035,2025-09-13,2025-12-26,105,28049.7680792649,108784.210526316,232668.056978718,,860.34490521109,0.995284867079542,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000120340545067373,2374.53059942173,0.992037944393099,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000629460016167956,2.75997519720202
ID036,2025-09-17,2025-12-22,97,38621.2353898706,124585.541551226,146256.87599158,,990.906772560308,0.990091317066122,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000535904026439645,1447.40816619508,0.905429956117986,0.0000000000000000000000000000000000000000000000000624800230462357,1.46069055765485
ID038,2025-09-17,2025-12-24,99,32550,123303.571428571,246774.392412092,,1007.30958956889,0.996683770472897,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000796746166412198,2656.70062839162,0.987371378997332,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000059904740751239,2.63742215491925
ID040,2025-09-19,2025-12-22,95,40508.012178506,139828.571428571,369896.835485384,,1160.02452191582,0.99751119993587,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000677011877329666,4136.96372105632,0.99857448209078,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000377193251441032,3.56627264587818
ID041,2025-09-13,2025-12-24,103,35657.4850860538,120753.959179922,261860.664566626,,920.954473379484,0.998149547097012,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000788205759882729,2596.04320178952,0.991107347956136,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000212171404624321,2.81886160155476
ID043,2025-09-12,2025-12-22,102,28880,114783.333333333,269365.48103023,,959.406750703903,0.992725095284869,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000116153309912719,2734.05500599558,0.97907911701915,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000597359207033841,2.84973500967096
ID044,2025-09-17,2025-12-24,99,32563.6363636364,137906.944444444,292232.240515115,,1152.44736196468,0.995060456942186,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000161321400973273,3150.0225854121,0.987290331083774,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000814399342853409,2.73333315635516
ID045,2025-09-17,2025-12-24,99,29199.6114451701,113722.796677866,229658.664566626,,907.075407219332,0.992153925963227,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000715589920131497,2411.16305562969,0.988790733597968,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000195783565113759,2.65817266837956
ID046,2025-09-17,2025-12-24,99,39818.3270892933,134094.969228988,281984.968360581,,1032.71794839226,0.994217376301021,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000311102691353425,2924.29160407893,0.987570172495013,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000279678210925139,2.83164595776754
ID047,2025-09-12,2025-12-21,101,26580.9091714723,106883.333333333,220362.13133159,,933.105408627179,0.990951807083577,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000070885304988548,2507.70870460302,0.98481506220921,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000226719378555739,2.68748705282124
ID051,2025-09-12,2025-12-26,106,24232.6974356418,128176.369892791,297193.512669649,,1106.47166227096,0.994181062540191,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004629078729709,3012.86888415995,0.977133760387117,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000376212828596531,2.72295169130336
ID052,2025-09-13,2025-12-24,103,31100,122566.442148628,288269.208875695,,1014.28350399068,0.994717700066926,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000798723533838719,2976.67386984362,0.992866129085592,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000311281794972766,2.93475528107473
ID053,2025-09-13,2025-12-25,104,33520.8370882389,119175,234999.724094603,,916.469150812849,0.992863767812399,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000266083703419889,2355.25662850687,0.974600309915582,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000353429507264081,2.56992461384861
ID055,2025-09-17,2025-12-22,97,30457.9037370208,113032.746057528,166573.72561962,,984.321345365744,0.987263315458339,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000715478718318464,1740.48303271941,0.904382731512252,0.000000000000000000000000000000000000000000000000104900031634696,1.7682061258894
ID057,2025-09-19,2025-12-22,95,40833.3333333333,128800,345053.1522223,,1096.87480042567,0.987566378995053,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000187506138101649,4001.05224006464,0.99438358402466,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024842150804121,3.64768361759422
ID059,2025-09-17,2025-12-22,97,31822.7277126662,117166.666666667,129909.909129979,,961.822109842877,0.993369257667383,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000636381659361331,1224.10147231676,0.911842730961698,0.0000000000000000000000000000000000000000000000000891375687059445,1.27269009496644
ID060,2025-09-12,2025-12-26,106,27455.3907230776,119390,264795.54527331,,975.769676706786,0.994187217976648,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000761032062176402,2725.64512331701,0.98707314162119,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000385024833491035,2.79332837285541
ID062,2025-09-19,2025-12-26,99,34670.7760402514,114254.861645853,241757.567193476,,887.572372883871,0.99550827548661,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000378961025135439,2595.14084258321,0.997661145590145,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000181079314637164,2.92386392576773
ID063,2025-10-09,2025-12-26,79,42925,119729.895147685,207733.808913221,,1045.36130525491,0.990254673680124,0.000000000000000000000000000000000000000000000000000000000000000000000000000000337301300013197,2707.6283357069,0.988732848322283,0.0000000000000000000000000000000000000000000000000000000000000000000000000000900589765108147,2.59013636921127
ID064,2025-09-17,2025-12-21,96,34733.3333333333,137690.440111129,218139.060775433,,1136.44802399103,0.992254615321903,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000502221008010935,2265.29916416478,0.935153999161534,0.00000000000000000000000000000000000000000000000000000000122173407860488,1.9933152386586
ID066,2025-09-17,2025-12-24,99,34790.2627857214,114820,246223.088618138,,921.213116099737,0.99659844345796,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000156504922460049,2591.3881010613,0.987373858332198,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000663383880790178,2.81301694013303
ID067,2025-09-12,2025-12-22,102,30967.2319696818,112360,236433.987432167,,904.624652013249,0.99577261216749,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000592696962821349,2565.77656458128,0.98864199754703,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000390849856723721,2.83628857435084
ID068,2025-09-17,2025-12-22,97,21667.903187694,105940,166302.413088596,,967.397822326288,0.9958723852631,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000455538231580696,1639.23210327475,0.890974321753446,0.0000000000000000000000000000000000000000000000165605392918307,1.69447570114735
ID070,2025-09-19,2025-12-24,97,34500,138465.043860268,300738.061757803,,1230.75854851431,0.994898408551267,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000150478803119553,3398.86795815022,0.990555123711402,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000562941851682511,2.76160418487697
ID072,2025-09-19,2025-12-22,95,33403.2591618123,128800,191882.542820287,,1069.08752975076,0.990484463412172,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000823590051862163,2079.22831146268,0.934288684129859,0.00000000000000000000000000000000000000000000000000000000893793689606486,1.94486256139142
ID074,2025-09-13,2025-12-26,105,29122.7100290116,109250,213616.936721161,,837.065245757169,0.995641300607586,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000319674967444917,2209.68356715689,0.992373852980194,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000786628456609768,2.63979848447551
ID075,2025-09-12,2025-12-26,106,27144.242339513,116160,222063.027888557,,930.457409648705,0.995432504943436,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000516918998320285,2296.2445782578,0.99113666000036,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000179584605540958,2.46786640038124
ID076,2025-09-19,2025-12-24,97,27175,109137.918660287,239424.44939081,,926.825779516097,0.979049956938313,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000103374442146237,2609.82719056111,0.990369996787711,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000140191184826365,2.81587677883078
ID078,2025-09-19,2025-12-21,94,35781.8181818182,117486.438189865,293364.784824184,,973.181697901733,0.997312136244018,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000470079783063239,3221.02311232212,0.998976758054956,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000238828960691031,3.3097859518597
ID079,2025-09-12,2025-12-21,101,31186.9175611691,133678.606322572,307485.317144052,,1103.01002855913,0.997069609088438,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000328447197079104,3326.10739614124,0.982910597361529,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000205354342199158,3.01548246164738
ID081,2025-09-19,2025-12-22,95,38364.517526483,120231.933766628,311418.751713022,,960.358277573286,0.997556043575883,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000290667920636454,3453.24278127797,0.99712240998097,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000578080645469353,3.5957859289805
ID083,2025-09-12,2025-12-26,106,29954.5454545455,112800,246785.83934801,,862.615148832764,0.995454685281777,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000122088808801988,2488.30617610489,0.991245506009578,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000776724817983655,2.88460755583983
ID084,2025-09-13,2025-12-26,105,28656.8429894692,117722.222222222,252264.936721161,,948.530234537932,0.996609069161832,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000508880557855854,2623.72329604985,0.992841310914473,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000262980107784334,2.7660934786417
ID085,2025-09-12,2025-12-25,105,27602.3890083842,114621.428571429,260220.145596856,,923.398471856725,0.994571320830542,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000170756354928878,2569.68053747904,0.980941612468965,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000210378987500988,2.78285119133027
ID086,2025-09-12,2025-12-26,106,21683.2251370333,112250.607105341,245975.140592706,,950.816420425708,0.996217991224788,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000860514833736123,2460.23208600578,0.97671559311079,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000965577425455117,2.58749431872902
ID087,2025-09-12,2025-12-25,105,29940.0284916013,126769.864561001,293742.572197626,,1007.08797610046,0.995134785558894,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000604308243501268,3006.1524149954,0.988711368945492,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000405425684578922,2.98499484288902
ID089,2025-09-12,2025-12-26,106,35095.6147577383,123244.444444444,248707.784824184,,908.290443477474,0.989327724159742,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000231223154663634,2396.85780108183,0.971671460051962,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000259512511262708,2.63886713583074
ID090,2025-09-12,2025-12-24,104,34656.8962583743,128868.75,290507.936721161,,1011.81470305999,0.99780581727136,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200426780439918,2829.63491940984,0.987668137221909,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000348081352539792,2.79659399181715
