step,n_removed,n_removed_animals,associated_animal_ids
keep_specified_ids,0,0,""
missing_id_or_date,309,1,""
duplicate_records,662,0,ID090;ID075;ID008;ID021;ID172;ID032;ID129;ID147;ID042;ID137;ID027;ID014;ID051;ID088;ID099;ID013;ID126;ID139;ID168;ID156;ID060;ID175;ID028;ID178;ID198;ID097;ID155;ID094;ID043;ID191;ID177;ID153;ID085;ID152;ID123;ID112;ID166;ID095;ID019;ID083;ID047;ID117;ID169;ID087;ID188;ID079;ID150;ID082;ID086;ID141;ID128;ID161;ID056;ID067;ID143;ID058;ID115;ID119;ID186;ID009;ID030;ID170;ID012;ID162;ID101;ID111;ID048;ID063;ID148;ID052;ID140;ID033;ID138;ID132;ID041;ID053;ID098;ID093;ID144;ID092;ID109;ID074;ID185;ID121;ID035;ID084;ID190;ID179;ID135;ID136;ID080;ID154;ID176;ID100;ID187;ID020;ID107;ID007;ID146;ID181;ID160;ID001;ID003;ID167;ID200;ID122;ID104;ID142;ID199;ID163;ID037;ID044;ID026;ID045;ID165;ID197;ID017;ID125;ID091;ID114;ID049;ID038;ID071;ID158;ID006;ID002;ID184;ID194;ID066;ID054;ID120;ID127;ID105;ID064;ID110;ID151;ID102;ID124;ID116;ID016;ID059;ID173;ID023;ID055;ID068;ID159;ID174;ID195;ID050;ID103;ID005;ID164;ID134;ID180;ID029;ID157;ID015;ID011;ID196;ID061;ID096;ID183;ID193;ID149;ID057;ID076;ID040;ID106;ID062;ID078;ID130;ID022;ID118;ID192;ID081;ID031;ID070;ID072;ID004;ID034
incomplete_data,2755,12,ID065;ID150;ID073;ID061;ID130;ID069;ID024;ID145;ID010;ID133;ID189;ID182
continuity_removed_records,260,0,""
logic_invalid,0,0,""
