error_type,count,percentage,severity
flag_STL_FI,3205,3.2,LOW
flag_RLM_WT,2041,2.04,LOW
flag_Gompertz_WT,1851,1.85,LOW
flag_percentile_high,1753,1.75,LOW
flag_percentile_low,1294,1.29,LOW
flag_weight_out_of_range,780,0.78,HIGH
flag_SD_WT,0,0,LOW
is_outlier_fi_stl,0,0,LOW
flag_feed_out_of_range,0,0,HIGH
