animal_id,record_date,device_type,start_time,end_time,duration_sec,feed_g,daily_feed_g,weight_g,location,age_day,measurement_day
982091101529889,2023-05-03,NEDAP,2023-05-03T06:15:00Z,2023-05-03T06:23:07Z,487,118,2765,52000,1908,,66
982091101529889,2023-05-03,NEDAP,2023-05-03T07:28:00Z,2023-05-03T07:35:35Z,455,181,2765,52000,1908,,66
982091101529889,2023-05-03,NEDAP,2023-05-03T07:38:00Z,2023-05-03T07:45:15Z,435,219,2765,52000,1908,,66
982091101529889,2023-05-03,NEDAP,2023-05-03T09:09:00Z,2023-05-03T09:09:16Z,16,1,2765,,1908,,66
982091101529889,2023-05-03,NEDAP,2023-05-03T10:44:00Z,2023-05-03T10:56:06Z,726,542,2765,52500,1908,,66
982091101529889,2023-05-03,NEDAP,2023-05-03T20:36:00Z,2023-05-03T20:55:12Z,1152,696,2765,52500,1908,,66
982091101529889,2023-05-04,NEDAP,2023-05-04T01:32:00Z,2023-05-04T01:38:25Z,385,166,1709,53000,1908,,66
982091101529889,2023-05-04,NEDAP,2023-05-04T05:10:00Z,2023-05-04T05:29:43Z,1183,532,1709,52500,1908,,66
982091101529889,2023-05-04,NEDAP,2023-05-04T08:25:00Z,2023-05-04T08:26:14Z,74,54,1709,53000,1908,,66
982091101529889,2023-05-04,NEDAP,2023-05-04T09:03:00Z,2023-05-04T09:10:06Z,426,191,1709,53000,1908,,66
982091101529889,2023-05-04,NEDAP,2023-05-04T11:15:00Z,2023-05-04T11:31:21Z,981,766,1709,53500,1908,,66
982091101529889,2023-05-05,NEDAP,2023-05-05T00:40:00Z,2023-05-05T01:00:18Z,1218,576,2349,52500,1908,,66
982091101529889,2023-05-05,NEDAP,2023-05-05T04:55:00Z,2023-05-05T05:00:49Z,349,160,2349,53000,1908,,66
982091101529889,2023-05-05,NEDAP,2023-05-05T05:02:00Z,2023-05-05T05:09:06Z,426,178,2349,53000,1908,,66
982091101529889,2023-05-05,NEDAP,2023-05-05T06:31:00Z,2023-05-05T06:36:02Z,302,135,2349,53500,1908,,66
982091101529889,2023-05-05,NEDAP,2023-05-05T11:11:00Z,2023-05-05T11:32:07Z,1267,921,2349,53000,1908,,66
982091101529889,2023-05-05,NEDAP,2023-05-05T16:17:00Z,2023-05-05T16:25:06Z,486,379,2349,54000,1908,,66
982091101529889,2023-05-06,NEDAP,2023-05-06T00:09:00Z,2023-05-06T00:24:57Z,957,550,2474,55000,1908,,66
982091101529889,2023-05-06,NEDAP,2023-05-06T04:16:00Z,2023-05-06T04:24:56Z,536,347,2474,55000,1908,,66
982091101529889,2023-05-06,NEDAP,2023-05-06T04:46:00Z,2023-05-06T04:48:43Z,163,27,2474,54500,1908,,66
982091101529889,2023-05-06,NEDAP,2023-05-06T05:50:00Z,2023-05-06T05:56:57Z,417,215,2474,54500,1908,,66
982091101529889,2023-05-06,NEDAP,2023-05-06T07:46:00Z,2023-05-06T07:53:16Z,436,242,2474,55000,1908,,66
982091101529889,2023-05-06,NEDAP,2023-05-06T09:08:00Z,2023-05-06T09:12:48Z,288,,2474,55500,1908,,66
982091101529889,2023-05-06,NEDAP,2023-05-06T09:57:00Z,2023-05-06T10:06:06Z,546,368,2474,55500,1908,,66
982091101529889,2023-05-06,NEDAP,2023-05-06T10:08:00Z,2023-05-06T10:10:25Z,145,5,2474,56000,1908,,66
982091101529889,2023-05-06,NEDAP,2023-05-06T13:53:00Z,2023-05-06T14:08:26Z,926,711,2474,55000,1908,,66
982091101529889,2023-05-07,NEDAP,2023-05-07T01:15:00Z,2023-05-07T01:30:19Z,919,433,2340,55000,1908,,66
982091101529889,2023-05-07,NEDAP,2023-05-07T03:48:00Z,2023-05-07T04:02:44Z,884,523,2340,55000,1908,,66
982091101529889,2023-05-07,NEDAP,2023-05-07T05:43:00Z,2023-05-07T05:47:27Z,267,48,2340,55500,1908,,66
982091101529889,2023-05-07,NEDAP,2023-05-07T08:05:00Z,2023-05-07T08:18:05Z,785,372,2340,55500,1908,,66
982091101529889,2023-05-07,NEDAP,2023-05-07T12:16:00Z,2023-05-07T12:37:49Z,1309,964,2340,56500,1908,,66
982091101529889,2023-05-08,NEDAP,2023-05-08T02:58:00Z,2023-05-08T03:18:59Z,1259,523,2537,57000,1908,,66
982091101529889,2023-05-08,NEDAP,2023-05-08T05:46:00Z,2023-05-08T06:03:43Z,1063,499,2537,56000,1908,,66
982091101529889,2023-05-08,NEDAP,2023-05-08T10:42:00Z,2023-05-08T10:58:58Z,1018,701,2537,57500,1908,,66
982091101529889,2023-05-08,NEDAP,2023-05-08T11:33:00Z,2023-05-08T11:33:26Z,26,1,2537,,1908,,66
982091101529889,2023-05-08,NEDAP,2023-05-08T15:15:00Z,2023-05-08T15:18:45Z,225,85,2537,58000,1908,,66
982091101529889,2023-05-08,NEDAP,2023-05-08T17:54:00Z,2023-05-08T17:56:34Z,154,75,2537,,1908,,66
982091101529889,2023-05-08,NEDAP,2023-05-08T21:06:00Z,2023-05-08T21:24:07Z,1087,652,2537,57000,1908,,66
