animal_id,start_date,end_date,test_days,start_weight_g,end_weight_g,total_feed_g,AGE,ADG_g,ADFI_g,FCR
982091101529889,2023-04-26,2023-07-01,67,49000,108500,193813,,991.666666666667,2892.73134328358,3.25736134453782
982091101532966,2023-04-26,2023-07-01,67,46250,106750,176219,,1008.33333333333,2630.13432835821,2.91271074380165
982091101535034,2023-04-26,2023-07-01,67,45500,108750,189871,,1054.16666666667,2833.89552238806,3.00191304347826
