error_type,count,percentage,severity
flag_weight_low,5889,3.75,MEDIUM
flag_speed_too_fast,2805,1.79,LOW
flag_weight_out_of_range,1135,0.72,HIGH
flag_daily_weight_low,430,0.27,MEDIUM
flag_duration_too_long,166,0.11,LOW
flag_speed_too_slow,96,0.06,LOW
flag_growth_curve_poor,0,0,HIGH
flag_feed_negative,0,0,LOW
flag_feed_too_high,0,0,MEDIUM
flag_duration_negative,0,0,LOW
flag_duration_zero_with_feed,0,0,LOW
flag_speed_extreme_low_feed,0,0,LOW
flag_speed_zero_long_duration,0,0,LOW
