animal_number,lifenumber,responder,location,visit_time,duration,state,weight,feed_intake
70639126,LL22133103M,9.82091E+14,1706,2022/11/9 0:06,380,0,59500,113
70639121,LL22133203M,982091101339121a,1706,2022/11/9 0:14,350,0,36000,228
70621256,LL22137201M,9.82091E+14,1706,2022/11/9 0:37,132,0,35500,2
70621256,LL22137201M,9.82091E+14,1706,2022/11/9 1:21,763,0,35500,285
70634874,LL22139102M,9.82091E+14,1706,2022/11/9 1:36,466,0,35500,172
70639192,LL22148205M,9.82091E+14,1706,2022/11/9 1:48,805,0,39500,210
70639173,LL22149902M,9.82091E+14,1706,2022/11/9 3:39,392,0,34500,176
70639192,LL22148205M,9.82091E+14,1706,2022/11/9 3:52,719,0,39500,188
70639170,LL22133301M,9.82091E+14,1706,2022/11/9 4:05,422,0,37000,152
70639126,LL22133103M,9.82091E+14,1706,2022/11/9 4:13,251,0,24500,53
70632844,LL22139904M,9.82091E+14,1706,2022/11/9 4:17,105,0,32500,12
70639126,LL22133103M,9.82091E+14,1706,2022/11/9 4:19,227,0,24500,34
70639192,LL22148205M,9.82091E+14,1706,2022/11/9 4:30,356,0,39500,102
70634874,LL22139102M,9.82091E+14,1706,2022/11/9 4:43,336,0,35500,133
70639170,LL22133301M,9.82091E+14,1706,2022/11/9 5:41,804,0,36500,258
70639120,LL22152603M,9.82091E+14,1706,2022/11/9 5:55,1135,0,31500,259
70639209,LL22137102M,9.82091E+14,1706,2022/11/9 6:14,1984,0,38500,399
70639121,LL22133203M,982091101339121a,1706,2022/11/9 7:38,775,0,35500,371
70634874,LL22139102M,9.82091E+14,1706,2022/11/9 8:25,273,0,35500,117
70639173,LL22149902M,9.82091E+14,1706,2022/11/9 8:31,259,0,34000,83
70639126,LL22133103M,9.82091E+14,1706,2022/11/9 8:36,201,0,24000,120
70634149,LL22137101M,9.82091E+14,1706,2022/11/9 8:39,2095,0,36500,437
70634874,LL22139102M,9.82091E+14,1706,2022/11/9 9:15,228,0,35500,82
70639192,LL22148205M,9.82091E+14,1706,2022/11/9 9:20,623,0,39500,140
70632844,LL22139904M,9.82091E+14,1706,2022/11/9 9:34,544,0,31500,266
70639120,LL22152603M,9.82091E+14,1706,2022/11/9 9:44,1788,0,31500,507
70634874,LL22139102M,9.82091E+14,1706,2022/11/9 10:15,401,0,36000,126
70639173,LL22149902M,9.82091E+14,1706,2022/11/9 10:22,964,0,34500,363
70621256,LL22137201M,9.82091E+14,1706,2022/11/9 10:38,1263,0,35000,516
70639126,LL22133103M,9.82091E+14,1706,2022/11/9 11:01,289,0,24500,139
70639209,LL22137102M,9.82091E+14,1706,2022/11/9 11:06,2576,0,39500,558
70639121,LL22133203M,982091101339121a,1706,2022/11/9 11:50,744,0,45000,387
70639170,LL22133301M,9.82091E+14,1706,2022/11/9 12:03,238,0,68000,85
70639192,LL22148205M,9.82091E+14,1706,2022/11/9 12:11,1732,0,39500,601
70634149,LL22137101M,9.82091E+14,1706,2022/11/9 12:40,520,0,45500,63
70634149,LL22137101M,9.82091E+14,1706,2022/11/9 12:48,21,0,,9
70634149,LL22137101M,9.82091E+14,1706,2022/11/9 12:49,5,0,,9
70634149,LL22137101M,9.82091E+14,1706,2022/11/9 12:49,582,0,53000,128
70634149,LL22137101M,9.82091E+14,1706,2022/11/9 12:59,463,0,37500,83
70639126,LL22133103M,9.82091E+14,1706,2022/11/9 13:08,153,0,24500,73
70639170,LL22133301M,9.82091E+14,1706,2022/11/9 13:26,26,0,,14
70639170,LL22133301M,9.82091E+14,1706,2022/11/9 13:27,1311,0,36500,406
70639126,LL22133103M,9.82091E+14,1706,2022/11/9 13:50,71,0,50500,25
70639126,LL22133103M,9.82091E+14,1706,2022/11/9 13:52,60,0,,70
70639126,LL22133103M,9.82091E+14,1706,2022/11/9 13:53,30,0,,42
70639126,LL22133103M,9.82091E+14,1706,2022/11/9 13:53,75,0,46250,85
70639120,LL22152603M,9.82091E+14,1706,2022/11/9 14:03,543,0,47500,136
70639120,LL22152603M,9.82091E+14,1706,2022/11/9 14:12,119,0,45000,39
70639120,LL22152603M,9.82091E+14,1706,2022/11/9 14:14,79,0,42500,34
70639120,LL22152603M,9.82091E+14,1706,2022/11/9 14:15,52,0,,19
70639120,LL22152603M,9.82091E+14,1706,2022/11/9 14:16,5,0,,8
70639120,LL22152603M,9.82091E+14,1706,2022/11/9 14:16,48,0,,20
