animal_number,lifenumber,responder,location,visit_time,duration,state,weight,feed_intake
70734848,LL22148404M,9.82091E+14,1707,2022/11/9 1:28,476,0,32500,204
70739179,LL22133202M,699b78b7-0c70-4ae2-ab86-2d616dd829b8,1707,2022/11/9 1:37,209,0,36500,34
70732905,LL22141101M,9.82091E+14,1707,2022/11/9 1:42,450,0,22500,131
70734891,LL22149402M,9.82091E+14,1707,2022/11/9 2:02,428,0,28500,151
70734876,LL22153804M,9.82091E+14,1707,2022/11/9 2:35,514,0,29500,128
70734162,LL22150204M,9.82091E+14,1707,2022/11/9 3:28,362,0,24500,157
70739179,LL22133202M,699b78b7-0c70-4ae2-ab86-2d616dd829b8,1707,2022/11/9 4:22,402,0,36500,218
70734852,LL22148101M,9.82091E+14,1707,2022/11/9 4:30,785,0,25500,180
70721340,LL22144904M,9.82091E+14,1707,2022/11/9 4:49,454,0,36000,246
70734162,LL22150204M,9.82091E+14,1707,2022/11/9 6:01,300,0,24000,93
70734848,LL22148404M,9.82091E+14,1707,2022/11/9 6:07,759,0,56500,363
70739142,LL22150005M,9.82091E+14,1707,2022/11/9 6:19,516,0,25000,102
70732905,LL22141101M,9.82091E+14,1707,2022/11/9 6:28,174,0,27000,35
70739142,LL22150005M,9.82091E+14,1707,2022/11/9 6:33,18,0,,1
70734891,LL22149402M,9.82091E+14,1707,2022/11/9 6:42,73,0,28000,1
70734119,LL22150501M,9.82091E+14,1707,2022/11/9 6:46,671,0,27000,185
70739179,LL22133202M,699b78b7-0c70-4ae2-ab86-2d616dd829b8,1707,2022/11/9 7:07,437,0,36500,235
70734162,LL22150204M,9.82091E+14,1707,2022/11/9 7:30,160,0,23500,28
70739142,LL22150005M,9.82091E+14,1707,2022/11/9 7:42,204,0,28500,150
70734154,LL22150506M,9.82091E+14,1707,2022/11/9 7:46,273,0,66500,64
70721340,LL22144904M,9.82091E+14,1707,2022/11/9 7:51,818,0,35500,337
70732905,LL22141101M,9.82091E+14,1707,2022/11/9 8:06,603,0,27000,112
70734162,LL22150204M,9.82091E+14,1707,2022/11/9 8:16,536,0,24000,67
70734162,LL22150204M,9.82091E+14,1707,2022/11/9 8:27,319,0,23500,94
70734852,LL22148101M,9.82091E+14,1707,2022/11/9 8:33,515,0,26500,156
70734876,LL22153804M,9.82091E+14,1707,2022/11/9 8:42,7,0,,14
70734852,LL22148101M,9.82091E+14,1707,2022/11/9 8:42,480,0,26000,105
70732905,LL22141101M,9.82091E+14,1707,2022/11/9 8:51,427,0,27000,89
70734162,LL22150204M,9.82091E+14,1707,2022/11/9 8:58,260,0,24000,31
70734119,LL22150501M,9.82091E+14,1707,2022/11/9 9:02,397,0,27500,132
70734162,LL22150204M,9.82091E+14,1707,2022/11/9 9:11,285,0,24000,69
70732905,LL22141101M,9.82091E+14,1707,2022/11/9 9:16,477,0,27000,146
70721340,LL22144904M,9.82091E+14,1707,2022/11/9 9:24,454,0,36000,76
70734119,LL22150501M,9.82091E+14,1707,2022/11/9 9:32,197,0,27500,47
70739179,LL22133202M,699b78b7-0c70-4ae2-ab86-2d616dd829b8,1707,2022/11/9 9:35,623,0,37000,248
70734891,LL22149402M,9.82091E+14,1707,2022/11/9 9:52,480,0,39000,200
70734876,LL22153804M,9.82091E+14,1707,2022/11/9 10:01,1521,0,29000,411
70739142,LL22150005M,9.82091E+14,1707,2022/11/9 10:31,1032,0,25500,234
70734848,LL22148404M,9.82091E+14,1707,2022/11/9 10:50,660,0,33000,283
70721340,LL22144904M,9.82091E+14,1707,2022/11/9 11:03,366,0,50000,156
70732905,LL22141101M,9.82091E+14,1707,2022/11/9 11:09,52,0,,11
70732905,LL22141101M,9.82091E+14,1707,2022/11/9 11:11,523,0,58000,190
70734154,LL22150506M,9.82091E+14,1707,2022/11/9 11:20,1231,0,32000,262
70734852,LL22148101M,9.82091E+14,1707,2022/11/9 11:42,111,0,47750,37
70734162,LL22150204M,9.82091E+14,1707,2022/11/9 11:44,65,0,47500,18
70734852,LL22148101M,9.82091E+14,1707,2022/11/9 11:45,3,0,,10
70734162,LL22150204M,9.82091E+14,1707,2022/11/9 11:45,218,0,24500,87
70721340,LL22144904M,9.82091E+14,1707,2022/11/9 11:49,306,0,36000,101
70734162,LL22150204M,9.82091E+14,1707,2022/11/9 11:54,377,0,24000,82
70734852,LL22148101M,9.82091E+14,1707,2022/11/9 12:02,619,0,53000,158
70734891,LL22149402M,9.82091E+14,1707,2022/11/9 12:12,158,0,52000,6
70739179,LL22133202M,699b78b7-0c70-4ae2-ab86-2d616dd829b8,1707,2022/11/9 12:15,783,0,37500,293
70734162,LL22150204M,9.82091E+14,1707,2022/11/9 12:29,391,0,38000,69
70734119,LL22150501M,9.82091E+14,1707,2022/11/9 12:35,217,0,54000,85
70734891,LL22149402M,9.82091E+14,1707,2022/11/9 12:39,556,0,54000,159
