animal_number,lifenumber,responder,location,visit_time,duration,state,weight,feed_intake
70931962,DD23099101M,9.82091E+14,1709,2023/6/20 9:50,962,0,68000,402
70935999,PP23095401M,02ac8702-f3a9-4b8f-b337-b4e668387389,1709,2023/6/20 10:06,588,0,52500,294
70931962,DD23099101M,9.82091E+14,1709,2023/6/20 10:15,1256,0,56000,633
70935906,DD23091801M,9.82091E+14,1709,2023/6/20 10:37,1397,0,64500,688
70935897,DD23089701M,9.82091E+14,1709,2023/6/20 11:00,1200,0,62000,643
70934385,DD23079503M,9.82091E+14,1709,2023/6/20 11:21,1943,0,51500,1087
70935906,DD23091801M,9.82091E+14,1709,2023/6/20 11:54,927,0,58000,434
70936045,DD23099001M,9.82091E+14,1709,2023/6/20 12:09,2262,0,47500,822
70937716,PP23078702M,02ac8702-f3a9-4b8f-b337-b4e668387389,1709,2023/6/20 12:47,1091,0,57750,534
70933460,PP23087504M,9.82091E+14,1709,2023/6/20 13:06,703,0,52000,303
70933460,PP23087504M,9.82091E+14,1709,2023/6/20 13:18,90,0,57500,114
70933446,PP23086501M,9.82091E+14,1709,2023/6/20 13:41,529,0,56500,888
70933393,DD23085002M,9.82091E+14,1709,2023/6/20 13:50,1418,0,55000,736
70933393,DD23085002M,9.82091E+14,1709,2023/6/20 14:13,891,0,60000,316
70936071,PP23095404M,9.82091E+14,1709,2023/6/20 14:29,273,0,56000,16
70936071,PP23095404M,9.82091E+14,1709,2023/6/20 14:33,39,0,,100
70933409,PP23087502M,9.82091E+14,1709,2023/6/20 14:34,7,0,,42
70936071,PP23095404M,9.82091E+14,1709,2023/6/20 14:34,938,0,53000,439
70933864,DD23098901M,9.82091E+14,1709,2023/6/20 14:50,2549,0,54000,1006
70935970,PP23092102M,9.82091E+14,1709,2023/6/20 15:42,23,0,,200
70933885,DD23099802M,9.82091E+14,1709,2023/6/20 15:43,4,0,,1
70935970,PP23092102M,9.82091E+14,1709,2023/6/20 15:43,808,0,46000,300
70935897,DD23089701M,9.82091E+14,1709,2023/6/20 15:56,1493,0,55500,731
70936071,PP23095404M,9.82091E+14,1709,2023/6/20 16:22,567,0,65000,148
70935970,PP23092102M,9.82091E+14,1709,2023/6/20 16:32,990,0,45500,489
