device,pattern,arm,kind,span,degree,rate_realised,mean_span_pts,acc,bias,coverage,adfi_r,acc_affected,n_gap,n_loess,n_fallback,n_branch_loess,n_branch_fcr,n_branch_skip,n_fit_failed,n_na_days,runtime_s
NEDAP,14d,prod,prod,0.3,2,0.0955459770114943,19.8,0.979387115935237,0.00373413156969265,1,0.955875066488363,0.778358073270693,267,,,1,19,22,0,0,0.276195764541626
NEDAP,14d,pure_s0.10_d1,pure,0.1,1,0.0955459770114943,5.225,0.976138885297144,0.00241717254350123,1,0.933079147806657,0.74343117537391,267,267,0,20,0,0,0,0,0.0425620079040527
NEDAP,14d,pure_s0.10_d2,pure,0.1,2,0.0955459770114943,5.225,0.962838268437042,0.0111351793273883,1,0.86083975209137,0.600415072518095,267,267,0,20,0,0,0,0,0.045419454574585
NEDAP,14d,pure_s0.20_d1,pure,0.2,1,0.0955459770114943,10.45,0.982054821289164,-0.00147267884603703,1,0.971213697759973,0.807042819797804,267,267,0,20,0,0,0,0,0.0420835018157959
NEDAP,14d,pure_s0.20_d2,pure,0.2,2,0.0955459770114943,10.45,0.973328827552142,-0.0023893942717306,1,0.903346415155183,0.713215771703761,267,267,0,20,0,0,0,0,0.0454351902008057
NEDAP,14d,pure_s0.30_d1,pure,0.3,1,0.0955459770114943,15.675,0.983524832435157,-0.000346503323842511,1,0.98133700900907,0.822849249489438,267,267,0,20,0,0,0,0,0.0418884754180908
NEDAP,14d,pure_s0.30_d2,pure,0.3,2,0.0955459770114943,15.675,0.980922880389977,-0.00277924825097878,1,0.964747212128739,0.794871521446183,267,267,0,20,0,0,0,0,0.0433926582336426
NEDAP,14d,pure_s0.50_d1,pure,0.5,1,0.0955459770114943,26.125,0.984492725312025,0.00136866037106686,1,0.98622021117517,0.833256606432918,267,267,0,20,0,0,0,0,0.050039529800415
NEDAP,14d,pure_s0.50_d2,pure,0.5,2,0.0955459770114943,26.125,0.984591478531512,0.00100020034009495,1,0.987078065139773,0.834318459484102,267,267,0,20,0,0,0,0,0.0424697399139404
NEDAP,14d,pure_s0.75_d1,pure,0.75,1,0.0955459770114943,39.1875,0.985140787392422,-0.00000840419726221768,1,0.990947896163868,0.840224953399223,267,267,0,20,0,0,0,0,0.0491633415222168
NEDAP,14d,pure_s0.75_d2,pure,0.75,2,0.0955459770114943,39.1875,0.984953054626314,0.0011005063680948,1,0.988278305196075,0.838206339610886,267,267,0,20,0,0,0,0,0.0429291725158691
NEDAP,14d,pure_s1.00_d1,pure,1,1,0.0955459770114943,52.25,0.985192158777622,-0.00108575685013283,1,0.992206240500381,0.840777328930886,267,267,0,20,0,0,0,0,0.0404372215270996
NEDAP,14d,pure_s1.00_d2,pure,1,2,0.0955459770114943,52.25,0.985176406022252,0.00133994873108219,1,0.989602043435615,0.840607945983766,267,267,0,20,0,0,0,0,0.0414242744445801
NEDAP,14d,raw_zero_s0.30_d2,raw_zero,0.3,2,0.0955459770114943,19.8,0.906999165866584,-0.0930008341334157,1,0.631932443211862,0,1,1,0,1,0,0,0,0,0.0103816986083984
NEDAP,5d,prod,prod,0.3,2,0.0987787356321839,,0.977424102313747,-0.000588097411021762,1,0.984361354210858,0.772419271855516,276,,,0,42,0,0,0,0.621123313903809
NEDAP,5d,pure_s0.10_d1,pure,0.1,1,0.0987787356321839,5.97380952380952,0.974809615463841,-0.00155679361137071,1,0.976402168625587,0.746063428588732,276,266,10,42,0,0,0,0,0.0803506374359131
NEDAP,5d,pure_s0.10_d2,pure,0.1,2,0.0987787356321839,5.97380952380952,0.965882588081214,-0.00597949837089634,1,0.953067553095629,0.656072792551213,276,266,10,42,0,0,0,0,0.082491397857666
NEDAP,5d,pure_s0.20_d1,pure,0.2,1,0.0987787356321839,11.947619047619,0.978841318139793,0.00240452755608922,1,0.985559321020169,0.786705791670222,276,266,10,42,0,0,0,0,0.0772085189819336
NEDAP,5d,pure_s0.20_d2,pure,0.2,2,0.0987787356321839,11.947619047619,0.97842249568011,0.00289075463377033,1,0.984225943357254,0.78248377039503,276,266,10,42,0,0,0,0,0.0787856578826904
NEDAP,5d,pure_s0.30_d1,pure,0.3,1,0.0987787356321839,17.9214285714286,0.979886864322913,0.00310346205059628,1,0.987926668481212,0.797245623351333,276,266,10,42,0,0,0,0,0.0786688327789307
NEDAP,5d,pure_s0.30_d2,pure,0.3,2,0.0987787356321839,17.9214285714286,0.979237128276004,0.00403641773283176,1,0.986773354430017,0.790695832742245,276,266,10,42,0,0,0,0,0.0805282592773438
NEDAP,5d,pure_s0.50_d1,pure,0.5,1,0.0987787356321839,29.8690476190476,0.980792432373484,0.00355449127241466,1,0.989885749058493,0.806374378238402,276,266,10,42,0,0,0,0,0.0775008201599121
NEDAP,5d,pure_s0.50_d2,pure,0.5,2,0.0987787356321839,29.8690476190476,0.980097816324256,0.00439832642230407,1,0.988524256699504,0.799372166035768,276,266,10,42,0,0,0,0,0.0780131816864014
NEDAP,5d,pure_s0.75_d1,pure,0.75,1,0.0987787356321839,44.8035714285714,0.980872218786435,0.00349727992907676,1,0.9905181331689,0.807178680694406,276,266,10,42,0,0,0,0,0.0751774311065674
NEDAP,5d,pure_s0.75_d2,pure,0.75,2,0.0987787356321839,44.8035714285714,0.980801794895573,0.00431938199197565,1,0.989824713003119,0.80646875896354,276,266,10,42,0,0,0,0,0.0772373676300049
NEDAP,5d,pure_s1.00_d1,pure,1,1,0.0987787356321839,59.7380952380953,0.981003647659546,0.00310678230176365,1,0.990915163976118,0.808503575015657,276,266,10,42,0,0,0,0,0.076530933380127
NEDAP,5d,pure_s1.00_d2,pure,1,2,0.0987787356321839,59.7380952380953,0.980792111233664,0.00432209552394576,1,0.989962677403723,0.806371140925981,276,266,10,42,0,0,0,0,0.0876963138580322
NEDAP,5d,raw_zero_s0.30_d2,raw_zero,0.3,2,0.0987787356321839,19.8,0.90080048574271,-0.0991995142572901,1,0.902284998144012,0,1,1,0,1,0,0,0,0,0.0327925682067871
NEDAP,boundary,prod,prod,0.3,2,0.0998563218390805,17.7375,0.967555126569701,0.0170831361244613,1,0.991606811648865,0.617954694495642,279,,,16,26,0,0,0,0.226032257080078
NEDAP,boundary,pure_s0.10_d1,pure,0.1,1,0.0998563218390805,5.96666666666667,0.967555126569701,0.0170831361244613,1,0.991606811648865,0.617954694495642,279,1,278,42,0,0,0,0,0.0850772857666016
NEDAP,boundary,pure_s0.10_d2,pure,0.1,2,0.0998563218390805,5.96666666666667,0.967555126569701,0.0170831361244613,1,0.991606811648865,0.617954694495642,279,1,278,42,0,0,0,0,0.108737230300903
NEDAP,boundary,pure_s0.20_d1,pure,0.2,1,0.0998563218390805,11.9333333333333,0.967555126569701,0.0170831361244613,1,0.991606811648865,0.617954694495642,279,1,278,42,0,0,0,0,0.391599416732788
NEDAP,boundary,pure_s0.20_d2,pure,0.2,2,0.0998563218390805,11.9333333333333,0.967555126569701,0.0170831361244613,1,0.991606811648865,0.617954694495642,279,1,278,42,0,0,0,0,0.0884354114532471
NEDAP,boundary,pure_s0.30_d1,pure,0.3,1,0.0998563218390805,17.9,0.967555126569701,0.0170831361244613,1,0.991606811648865,0.617954694495642,279,1,278,42,0,0,0,0,0.0888416767120361
NEDAP,boundary,pure_s0.30_d2,pure,0.3,2,0.0998563218390805,17.9,0.967555126569701,0.0170831361244613,1,0.991606811648865,0.617954694495642,279,1,278,42,0,0,0,0,0.0851211547851563
NEDAP,boundary,pure_s0.50_d1,pure,0.5,1,0.0998563218390805,29.8333333333333,0.967555126569701,0.0170831361244613,1,0.991606811648865,0.617954694495642,279,1,278,42,0,0,0,0,0.0902254581451416
NEDAP,boundary,pure_s0.50_d2,pure,0.5,2,0.0998563218390805,29.8333333333333,0.967555126569701,0.0170831361244613,1,0.991606811648865,0.617954694495642,279,1,278,42,0,0,0,0,0.0871932506561279
